Sensor,Time Point,value
DC21410602,2022-01-07 08:00:00,0.01
DC21410602,2022-01-07 09:00:00,0.0
DC21410602,2022-01-07 10:00:00,0.0
DC21410602,2022-01-07 11:00:00,0.0
DC21410602,2022-01-07 12:00:00,0.0
DC21410602,2022-01-07 13:00:00,0.03
DC21410602,2022-01-07 14:00:00,0.0
DC21410602,2022-01-07 15:00:00,0.0
DC21410602,2022-01-07 16:00:00,0.0
DC21410602,2022-01-07 17:00:00,0.0
DC21410602,2022-01-07 18:00:00,0.0
DC21410602,2022-01-07 19:00:00,0.0
DC21410602,2022-01-07 20:00:00,0.11
DC21410602,2022-01-07 21:00:00,0.53
DC21410602,2022-01-07 22:00:00,0.88
DC21410602,2022-01-07 23:00:00,0.92
DC21410602,2022-01-08 00:00:00,0.8
DC21410602,2022-01-08 01:00:00,0.71
DC21410602,2022-01-08 02:00:00,0.48
DC21410602,2022-01-08 03:00:00,0.5
DC21410602,2022-01-08 04:00:00,0.42
DC21410602,2022-01-08 05:00:00,0.29
DC21410602,2022-01-08 06:00:00,0.37
DC21410602,2022-01-08 07:00:00,0.52
DC21410602,2022-01-08 08:00:00,0.54
DC21410602,2022-01-08 09:00:00,0.75
DC21410602,2022-01-08 10:00:00,0.79
DC21410602,2022-01-08 11:00:00,0.54
DC21410602,2022-01-08 12:00:00,0.42
DC21410602,2022-01-08 13:00:00,0.32
DC21410602,2022-01-08 14:00:00,0.41
DC21410602,2022-01-08 15:00:00,0.61
DC21410602,2022-01-08 16:00:00,1.2
DC21410602,2022-01-08 17:00:00,1.73
DC21410602,2022-01-08 18:00:00,1.14
DC21410602,2022-01-08 19:00:00,1.27
DC21410602,2022-01-08 20:00:00,2.33
DC21410602,2022-01-08 21:00:00,2.94
DC21410602,2022-01-08 22:00:00,2.97
DC21410602,2022-01-08 23:00:00,3.2
DC21410602,2022-01-09 00:00:00,2.68
DC21410602,2022-01-09 01:00:00,2.28
DC21410602,2022-01-09 02:00:00,2.19
DC21410602,2022-01-09 03:00:00,1.95
DC21410602,2022-01-09 04:00:00,1.85
DC21410602,2022-01-09 05:00:00,1.99
DC21410602,2022-01-09 06:00:00,2.0
DC21410602,2022-01-09 07:00:00,2.14
DC21410602,2022-01-09 08:00:00,2.15
DC21410602,2022-01-09 09:00:00,2.4
DC21410602,2022-01-09 10:00:00,2.43
DC21410602,2022-01-09 11:00:00,2.86
DC21410602,2022-01-09 12:00:00,2.69
DC21410602,2022-01-09 13:00:00,2.73
DC21410602,2022-01-09 14:00:00,2.88
DC21410602,2022-01-09 15:00:00,2.58
DC21410602,2022-01-09 16:00:00,2.42
DC21410602,2022-01-09 17:00:00,2.65
DC21410602,2022-01-09 18:00:00,2.93
DC21410602,2022-01-09 19:00:00,3.25
DC21410602,2022-01-09 20:00:00,4.36
DC21410602,2022-01-09 21:00:00,4.87
DC21410602,2022-01-09 22:00:00,4.92
DC21410602,2022-01-09 23:00:00,3.43
DC21410602,2022-01-10 00:00:00,1.81
DC21410602,2022-01-10 01:00:00,1.25
DC21410602,2022-01-10 02:00:00,1.84
DC21410602,2022-01-10 03:00:00,1.38
DC21410602,2022-01-10 04:00:00,0.92
DC21410602,2022-01-10 05:00:00,0.1
DC21410602,2022-01-10 06:00:00,0.0
DC21410602,2022-01-10 07:00:00,0.0
DC21410602,2022-01-10 08:00:00,0.0
DC21410602,2022-01-10 09:00:00,0.0
DC21410602,2022-01-10 10:00:00,0.0
DC21410602,2022-01-10 11:00:00,0.0
DC21410602,2022-01-10 12:00:00,0.0
DC21410602,2022-01-10 13:00:00,0.0
DC21410602,2022-01-10 14:00:00,0.0
DC21410602,2022-01-10 15:00:00,0.0
DC21410602,2022-01-10 16:00:00,0.0
DC21410602,2022-01-10 17:00:00,0.0
DC21410602,2022-01-10 18:00:00,0.0
DC21410602,2022-01-10 19:00:00,0.0
DC21410602,2022-01-10 20:00:00,0.01
DC21410602,2022-01-10 21:00:00,0.14
DC21410602,2022-01-10 22:00:00,0.09
DC21410602,2022-01-10 23:00:00,0.1
DC21410602,2022-01-11 00:00:00,0.2
DC21410602,2022-01-11 01:00:00,0.17
DC21410602,2022-01-11 02:00:00,0.15
DC21410602,2022-01-11 03:00:00,0.36
DC21410602,2022-01-11 04:00:00,0.16
DC21410602,2022-01-11 05:00:00,0.0
DC21410602,2022-01-11 06:00:00,0.0
DC21410602,2022-01-11 07:00:00,0.0
DC21410602,2022-01-11 08:00:00,0.0
DC21410602,2022-01-11 09:00:00,0.0
DC21410602,2022-01-11 10:00:00,0.0
DC21410602,2022-01-11 11:00:00,0.0
DC21410602,2022-01-11 12:00:00,0.0
DC21410602,2022-01-11 13:00:00,0.0
DC21410602,2022-01-11 14:00:00,0.0
DC21410602,2022-01-11 15:00:00,0.0
DC21410602,2022-01-11 16:00:00,0.0
DC21410602,2022-01-11 17:00:00,0.0
DC21410602,2022-01-11 18:00:00,0.0
DC21410602,2022-01-11 19:00:00,0.0
DC21410602,2022-01-11 20:00:00,0.0
DC21410602,2022-01-11 21:00:00,0.38
DC21410602,2022-01-11 22:00:00,1.59
DC21410602,2022-01-11 23:00:00,0.93
DC21410602,2022-01-12 00:00:00,0.03
DC21410602,2022-01-12 01:00:00,0.01
DC21410602,2022-01-12 02:00:00,0.03
DC21410602,2022-01-12 03:00:00,0.05
DC21410602,2022-01-12 04:00:00,0.04
DC21410602,2022-01-12 05:00:00,0.03
DC21410602,2022-01-12 06:00:00,0.07
DC21410602,2022-01-12 07:00:00,0.07
DC21410602,2022-01-12 08:00:00,0.13
DC21410602,2022-01-12 09:00:00,0.11
DC21410602,2022-01-12 10:00:00,0.1
DC21410602,2022-01-12 11:00:00,0.1
DC21410602,2022-01-12 12:00:00,0.21
DC21410602,2022-01-12 13:00:00,0.17
DC21410602,2022-01-12 14:00:00,0.08
DC21410602,2022-01-12 15:00:00,0.07
DC21410602,2022-01-12 16:00:00,0.01
DC21410602,2022-01-12 17:00:00,0.05
DC21410602,2022-01-12 18:00:00,0.23
DC21410602,2022-01-12 19:00:00,0.36
DC21410602,2022-01-12 20:00:00,0.5
DC21410602,2022-01-12 21:00:00,1.36
DC21410602,2022-01-12 22:00:00,3.72
DC21410602,2022-01-12 23:00:00,4.15
DC21410602,2022-01-13 00:00:00,3.21
DC21410602,2022-01-13 01:00:00,2.57
DC21410602,2022-01-13 02:00:00,2.53
DC21410602,2022-01-13 03:00:00,2.79
DC21410602,2022-01-13 04:00:00,3.11
DC21410602,2022-01-13 05:00:00,2.93
DC21410602,2022-01-13 06:00:00,3.77
DC21410602,2022-01-13 07:00:00,4.65
DC21410602,2022-01-13 08:00:00,5.4
DC21410602,2022-01-13 09:00:00,6.8
DC21410602,2022-01-13 10:00:00,7.68
DC21410602,2022-01-13 11:00:00,7.57
DC21410602,2022-01-13 12:00:00,6.07
DC21410602,2022-01-13 13:00:00,4.52
DC21410602,2022-01-13 14:00:00,2.39
DC21410602,2022-01-13 15:00:00,1.06
DC21410602,2022-01-13 16:00:00,0.79
DC21410602,2022-01-13 17:00:00,1.2
DC21410602,2022-01-13 18:00:00,2.01
DC21410602,2022-01-13 19:00:00,2.43
DC21410602,2022-01-13 20:00:00,2.82
