Sensor,Time Point,value
DC21410602,2022-01-07 08:00:00,406.88
DC21410602,2022-01-07 09:00:00,404.98
DC21410602,2022-01-07 10:00:00,405.69
DC21410602,2022-01-07 11:00:00,403.31
DC21410602,2022-01-07 12:00:00,402.65
DC21410602,2022-01-07 13:00:00,402.16
DC21410602,2022-01-07 14:00:00,401.48
DC21410602,2022-01-07 15:00:00,403.77
DC21410602,2022-01-07 16:00:00,404.99
DC21410602,2022-01-07 17:00:00,402.46
DC21410602,2022-01-07 18:00:00,399.94
DC21410602,2022-01-07 19:00:00,398.74
DC21410602,2022-01-07 20:00:00,400.56
DC21410602,2022-01-07 21:00:00,401.28
DC21410602,2022-01-07 22:00:00,402.16
DC21410602,2022-01-07 23:00:00,402.6
DC21410602,2022-01-08 00:00:00,402.54
DC21410602,2022-01-08 01:00:00,402.28
DC21410602,2022-01-08 02:00:00,402.24
DC21410602,2022-01-08 03:00:00,403.04
DC21410602,2022-01-08 04:00:00,402.54
DC21410602,2022-01-08 05:00:00,403.07
DC21410602,2022-01-08 06:00:00,403.52
DC21410602,2022-01-08 07:00:00,405.8
DC21410602,2022-01-08 08:00:00,406.78
DC21410602,2022-01-08 09:00:00,407.86
DC21410602,2022-01-08 10:00:00,407.1
DC21410602,2022-01-08 11:00:00,405.82
DC21410602,2022-01-08 12:00:00,410.05
DC21410602,2022-01-08 13:00:00,406.72
DC21410602,2022-01-08 14:00:00,406.8
DC21410602,2022-01-08 15:00:00,406.97
DC21410602,2022-01-08 16:00:00,407.27
DC21410602,2022-01-08 17:00:00,407.66
DC21410602,2022-01-08 18:00:00,406.67
DC21410602,2022-01-08 19:00:00,407.58
DC21410602,2022-01-08 20:00:00,409.97
DC21410602,2022-01-08 21:00:00,410.1
DC21410602,2022-01-08 22:00:00,408.78
DC21410602,2022-01-08 23:00:00,409.26
DC21410602,2022-01-09 00:00:00,407.98
DC21410602,2022-01-09 01:00:00,407.63
DC21410602,2022-01-09 02:00:00,406.54
DC21410602,2022-01-09 03:00:00,403.65
DC21410602,2022-01-09 04:00:00,401.94
DC21410602,2022-01-09 05:00:00,401.4
DC21410602,2022-01-09 06:00:00,400.26
DC21410602,2022-01-09 07:00:00,399.35
DC21410602,2022-01-09 08:00:00,400.11
DC21410602,2022-01-09 09:00:00,400.37
DC21410602,2022-01-09 10:00:00,402.39
DC21410602,2022-01-09 11:00:00,403.51
DC21410602,2022-01-09 12:00:00,402.92
DC21410602,2022-01-09 13:00:00,402.04
DC21410602,2022-01-09 14:00:00,401.93
DC21410602,2022-01-09 15:00:00,402.49
DC21410602,2022-01-09 16:00:00,402.63
DC21410602,2022-01-09 17:00:00,403.75
DC21410602,2022-01-09 18:00:00,404.98
DC21410602,2022-01-09 19:00:00,407.71
DC21410602,2022-01-09 20:00:00,411.92
DC21410602,2022-01-09 21:00:00,411.94
DC21410602,2022-01-09 22:00:00,412.73
DC21410602,2022-01-09 23:00:00,410.18
DC21410602,2022-01-10 00:00:00,405.74
DC21410602,2022-01-10 01:00:00,399.93
DC21410602,2022-01-10 02:00:00,395.57
DC21410602,2022-01-10 03:00:00,394.48
DC21410602,2022-01-10 04:00:00,393.82
DC21410602,2022-01-10 05:00:00,397.77
DC21410602,2022-01-10 06:00:00,397.07
DC21410602,2022-01-10 07:00:00,400.72
DC21410602,2022-01-10 08:00:00,406.8
DC21410602,2022-01-10 09:00:00,415.91
DC21410602,2022-01-10 10:00:00,420.26
DC21410602,2022-01-10 11:00:00,424.17
DC21410602,2022-01-10 12:00:00,426.61
DC21410602,2022-01-10 13:00:00,428.39
