Sensor,Time Point,value
DC21410602,2022-01-07 06:00:00,23.44
DC21410602,2022-01-07 07:00:00,22.84
DC21410602,2022-01-07 08:00:00,22.19
DC21410602,2022-01-07 09:00:00,21.63
DC21410602,2022-01-07 10:00:00,21.08
DC21410602,2022-01-07 11:00:00,20.65
DC21410602,2022-01-07 12:00:00,20.19
DC21410602,2022-01-07 13:00:00,19.68
DC21410602,2022-01-07 14:00:00,19.1
DC21410602,2022-01-07 15:00:00,18.65
DC21410602,2022-01-07 16:00:00,18.64
DC21410602,2022-01-07 17:00:00,18.47
DC21410602,2022-01-07 18:00:00,18.06
DC21410602,2022-01-07 19:00:00,17.76
DC21410602,2022-01-07 20:00:00,17.2
DC21410602,2022-01-07 21:00:00,16.91
DC21410602,2022-01-07 22:00:00,16.75
DC21410602,2022-01-07 23:00:00,16.83
DC21410602,2022-01-08 00:00:00,16.91
DC21410602,2022-01-08 01:00:00,16.88
DC21410602,2022-01-08 02:00:00,16.89
DC21410602,2022-01-08 03:00:00,16.7
DC21410602,2022-01-08 04:00:00,16.56
DC21410602,2022-01-08 05:00:00,16.53
DC21410602,2022-01-08 06:00:00,16.34
DC21410602,2022-01-08 07:00:00,16.32
DC21410602,2022-01-08 08:00:00,16.3
DC21410602,2022-01-08 09:00:00,16.17
DC21410602,2022-01-08 10:00:00,16.19
DC21410602,2022-01-08 11:00:00,16.24
DC21410602,2022-01-08 12:00:00,16.39
DC21410602,2022-01-08 13:00:00,16.42
DC21410602,2022-01-08 14:00:00,16.4
DC21410602,2022-01-08 15:00:00,16.36
DC21410602,2022-01-08 16:00:00,16.06
DC21410602,2022-01-08 17:00:00,15.77
DC21410602,2022-01-08 18:00:00,15.72
DC21410602,2022-01-08 19:00:00,15.91
DC21410602,2022-01-08 20:00:00,16.03
DC21410602,2022-01-08 21:00:00,16.11
DC21410602,2022-01-08 22:00:00,16.31
DC21410602,2022-01-08 23:00:00,16.56
DC21410602,2022-01-09 00:00:00,16.79
DC21410602,2022-01-09 01:00:00,16.99
DC21410602,2022-01-09 02:00:00,17.13
DC21410602,2022-01-09 03:00:00,17.25
DC21410602,2022-01-09 04:00:00,17.33
DC21410602,2022-01-09 05:00:00,17.5
DC21410602,2022-01-09 06:00:00,17.69
DC21410602,2022-01-09 07:00:00,17.89
DC21410602,2022-01-09 08:00:00,18.1
DC21410602,2022-01-09 09:00:00,18.3
DC21410602,2022-01-09 10:00:00,18.62
DC21410602,2022-01-09 11:00:00,19.17
DC21410602,2022-01-09 12:00:00,20.12
DC21410602,2022-01-09 13:00:00,21.26
DC21410602,2022-01-09 14:00:00,22.31
DC21410602,2022-01-09 15:00:00,23.14
DC21410602,2022-01-09 16:00:00,23.94
DC21410602,2022-01-09 17:00:00,24.75
DC21410602,2022-01-09 18:00:00,25.31
DC21410602,2022-01-09 19:00:00,25.93
DC21410602,2022-01-09 20:00:00,26.84
DC21410602,2022-01-09 21:00:00,27.5
DC21410602,2022-01-09 22:00:00,27.88
DC21410602,2022-01-09 23:00:00,28.08
DC21410602,2022-01-10 00:00:00,27.68
DC21410602,2022-01-10 01:00:00,26.7
DC21410602,2022-01-10 02:00:00,25.5
DC21410602,2022-01-10 03:00:00,24.39
DC21410602,2022-01-10 04:00:00,23.41
DC21410602,2022-01-10 05:00:00,23.53
DC21410602,2022-01-10 06:00:00,22.49
DC21410602,2022-01-10 07:00:00,21.81
DC21410602,2022-01-10 08:00:00,21.06
DC21410602,2022-01-10 09:00:00,20.46
DC21410602,2022-01-10 10:00:00,19.45
DC21410602,2022-01-10 11:00:00,18.79
DC21410602,2022-01-10 12:00:00,18.23
DC21410602,2022-01-10 13:00:00,17.86
DC21410602,2022-01-10 14:00:00,17.58
DC21410602,2022-01-10 15:00:00,17.44
DC21410602,2022-01-10 16:00:00,17.34
DC21410602,2022-01-10 17:00:00,17.34
DC21410602,2022-01-10 18:00:00,17.46
DC21410602,2022-01-10 19:00:00,17.33
DC21410602,2022-01-10 20:00:00,16.7
DC21410602,2022-01-10 21:00:00,16.17
DC21410602,2022-01-10 22:00:00,15.81
DC21410602,2022-01-10 23:00:00,15.55
DC21410602,2022-01-11 00:00:00,15.31
DC21410602,2022-01-11 01:00:00,15.22
DC21410602,2022-01-11 02:00:00,15.25
DC21410602,2022-01-11 03:00:00,15.06
DC21410602,2022-01-11 04:00:00,15.0
DC21410602,2022-01-11 05:00:00,15.86
DC21410602,2022-01-11 06:00:00,15.85
DC21410602,2022-01-11 07:00:00,15.8
DC21410602,2022-01-11 08:00:00,15.44
DC21410602,2022-01-11 09:00:00,15.02
DC21410602,2022-01-11 10:00:00,14.6
DC21410602,2022-01-11 11:00:00,14.36
DC21410602,2022-01-11 12:00:00,14.23
DC21410602,2022-01-11 13:00:00,14.09
DC21410602,2022-01-11 14:00:00,13.92
DC21410602,2022-01-11 15:00:00,13.72
DC21410602,2022-01-11 16:00:00,13.53
DC21410602,2022-01-11 17:00:00,13.39
DC21410602,2022-01-11 18:00:00,13.25
DC21410602,2022-01-11 19:00:00,13.18
DC21410602,2022-01-11 20:00:00,13.19
DC21410602,2022-01-11 21:00:00,13.3
DC21410602,2022-01-11 22:00:00,13.19
DC21410602,2022-01-11 23:00:00,13.29
